dataset,source_file,frames,target,target_available_pct,sem_target_frames,max_sem_target_streak,raw_left_detected_pct,raw_right_detected_pct,raw_both_detected_pct,left_detected_pct,right_detected_pct,both_detected_pct,error_threshold_px,error_mean_px,error_mae_px,error_rmse_px,error_std_px,error_median_px,error_abs_p95_px,error_abs_max_px,within_threshold_pct,command_esquerda_pct,command_reto_pct,command_direita_pct,command_sem_target_pct,target_x_mean_px,target_x_std_px,jitter_pairs,jitter_mean_abs_px,jitter_std_px,jitter_abs_p95_px,jitter_abs_max_px,jitter_gt_5_px_pct,jitter_gt_10_px_pct,jitter_gt_20_px_pct,lane_width_mean_px,lane_width_std_px,lane_width_p05_px,lane_width_p95_px,lane_width_min_px,lane_width_max_px,left_confidence_mean,right_confidence_mean,left_curvature_median,right_curvature_median,processing_mean_ms,processing_median_ms,processing_p95_ms,processing_max_ms,processing_mean_fps
lkas_video_01,experiments\lkas_video_01.csv,1020,center,100.0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,-36.54418,36.547665,40.807576,18.159878,-36.626909,66.983763,91.549846,20.784314,0.0,20.784314,79.215686,0.0,276.54418,18.159878,1019,0.702148,0.940861,1.670853,8.659003,0.294406,0.0,0.0,365.80669,30.313549,314.557712,409.956469,298.997278,434.127275,1.0,0.999918,53890.337028,43790.974023,189.586719,190.0577,214.519135,328.8089,5.311204
lkas_video_02,experiments\lkas_video_02.csv,2232,center,99.820789,4,3,99.507168,99.014337,98.521505,99.955197,99.865591,99.820789,20.0,-18.939009,21.025457,25.578275,17.191919,-17.725183,49.511987,67.447295,52.872531,2.060932,52.777778,44.982079,0.179211,218.939009,17.191919,2225,0.695062,0.908959,1.791081,7.038207,0.044944,0.0,0.0,292.272043,38.830667,228.003998,353.522651,204.36754,379.893929,0.99604,0.967973,43429.811412,21805.236805,222.231487,210.4599,340.788675,541.4005,4.665986
