video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps,lane_width_px,error_normalized,steering_raw,steering_filtered,steering_delta,steering_direction,steering_held,steering_saturated,controller_kp,controller_deadband_px,controller_smoothing_alpha,controller_max_step,controller_max_output,controller_hold_missing_frames
video_01,data/raw/test_video.mp4,config/test_video_params.json,13,0.602267,29.858562,480,600,center,1,240.0,252.58431,-12.58431,20.0,RETO,20.0,20.0,1,1,1,1,95.47159683978975,409.69702401855494,115.47159683978975,252.58431042917235,389.69702401855494,1.0,1.0,24487.848586504253,318108.2716555223,160.5014,6.230475,314.225427,-0.080097,-0.064078,-0.05822,-0.001953,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,14,0.635589,29.858562,480,600,center,1,240.0,252.390481,-12.390481,20.0,RETO,20.0,20.0,1,1,1,1,94.99254040464689,409.7884217479605,114.99254040464689,252.39048107630373,389.7884217479605,1.0,1.0,24502.45982956278,303829.2091641469,157.4456,6.3514,314.795881,-0.078721,-0.062977,-0.059409,-0.001189,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,15,0.668911,29.858562,480,600,center,1,240.0,252.170343,-12.170343,20.0,RETO,20.0,20.0,1,1,1,1,94.44235058266224,409.8983361777523,114.44235058266224,252.17034338020727,389.8983361777523,1.0,1.0,24567.118464140054,289070.96311705175,151.1306,6.616794,315.455986,-0.07716,-0.061728,-0.059989,-0.00058,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,16,0.693911,29.858562,480,600,center,1,240.0,251.874488,-11.874488,20.0,RETO,20.0,20.0,1,1,1,1,93.79325944632805,409.9557170287906,113.79325944632805,251.87448823755935,389.9557170287906,1.0,1.0,24635.79787088197,280365.6830002889,150.6724,6.636916,316.162458,-0.075116,-0.060093,-0.060015,-2.6e-05,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,17,0.727233,29.858562,480,600,center,1,240.0,251.488531,-11.488531,20.0,RETO,20.0,20.0,1,1,1,1,93.07184237618611,409.9052198911611,113.07184237618611,251.4885311336736,389.9052198911611,1.0,1.0,24774.643468191305,231728.7086225882,146.5821,6.822115,316.833378,-0.072521,-0.058017,-0.059515,0.0005,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,18,0.760556,29.858562,480,600,center,1,240.0,251.064733,-11.064733,20.0,RETO,20.0,20.0,1,1,1,1,92.28838109747494,409.8410844746447,112.28838109747494,251.0647327860598,389.8410844746447,1.0,1.0,24617.234887645078,254516.44633601658,148.4996,6.734025,317.552703,-0.069688,-0.05575,-0.058574,0.000941,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,19,0.802222,29.858562,480,600,center,1,240.0,250.705272,-10.705272,20.0,RETO,20.0,20.0,1,1,1,1,91.55977872219754,409.8507661041912,111.55977872219754,250.7052724131944,389.8507661041912,1.0,1.0,23715.02300860012,226659.8758879282,152.0799,6.575491,318.290987,-0.067267,-0.053814,-0.057384,0.00119,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,20,0.835544,29.858562,480,600,center,1,240.0,250.398908,-10.398908,20.0,RETO,20.0,20.0,1,1,1,1,90.84788553410088,409.94992962228343,110.84788553410088,250.39890757819214,389.94992962228343,1.0,1.0,23160.87701981345,219072.86772391322,140.6035,7.112198,319.102044,-0.065176,-0.052141,-0.056073,0.001311,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,21,0.860533,29.858562,480,600,center,1,240.0,250.088982,-10.088982,20.0,RETO,20.0,20.0,1,1,1,1,90.14208750702127,410.03587598502446,110.14208750702127,250.08898174602285,390.03587598502446,1.0,1.0,22852.356665911615,213097.4412044977,143.1584,6.985269,319.893788,-0.063077,-0.050462,-0.05467,0.001403,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,22,0.893856,29.858562,480,600,center,1,240.0,249.706087,-9.706087,20.0,RETO,20.0,20.0,1,1,1,1,89.35294224041476,410.05923108473377,109.35294224041476,249.70608666257428,390.05923108473377,1.0,1.0,23164.983161879096,222439.72398452988,162.2228,6.164362,320.706289,-0.060529,-0.048424,-0.053109,0.001562,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
