video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps
video_02,data/raw/video_02.mp4,config/video_02_params.json,16,0.533333,30.0,400,600,left,1,200.0,70.44426,129.55574,20.0,ESQUERDA,20.0,20.0,1,1,1,1,50.44425961706525,370.24727256834626,70.44425961706526,210.34576609270573,350.24727256834626,1.0,1.0,999999.0,141629.20988039082,179.9273,5.5578
video_02,data/raw/video_02.mp4,config/video_02_params.json,17,0.566667,30.0,400,600,left,1,200.0,69.811744,130.188256,20.0,ESQUERDA,20.0,20.0,1,1,1,1,49.811743747135246,369.591147095531,69.81174374713524,209.70144542133315,349.591147095531,1.0,1.0,999999.0,156071.35644505962,186.1782,5.371198
video_02,data/raw/video_02.mp4,config/video_02_params.json,18,0.6,30.0,400,600,left,1,200.0,69.109839,130.890161,20.0,ESQUERDA,20.0,20.0,1,1,1,1,49.10983935389253,368.9239332189977,69.10983935389254,209.01688628644513,348.9239332189977,1.0,1.0,999999.0,152416.92237029632,185.1205,5.401887
video_02,data/raw/video_02.mp4,config/video_02_params.json,19,0.633333,30.0,400,600,left,1,200.0,68.369419,131.630581,20.0,ESQUERDA,20.0,20.0,1,1,1,1,48.36941917544563,368.2690876987371,68.36941917544563,208.31925343709136,348.2690876987371,1.0,1.0,818253.3409103506,142042.15311236677,189.3458,5.281342
video_02,data/raw/video_02.mp4,config/video_02_params.json,20,0.666667,30.0,400,600,left,1,200.0,67.596964,132.403036,20.0,ESQUERDA,20.0,20.0,1,1,1,1,47.59696396784653,367.58387582336167,67.59696396784653,207.5904198956041,347.58387582336167,1.0,1.0,525097.9747100235,129808.91027354544,187.3066,5.33884
video_02,data/raw/video_02.mp4,config/video_02_params.json,21,0.7,30.0,400,600,left,1,200.0,66.78393,133.21607,20.0,ESQUERDA,20.0,20.0,1,1,1,1,46.783929922464004,366.8999478508357,66.78392992246401,206.84193888664984,346.8999478508357,1.0,1.0,522331.42414793797,129682.60912980163,194.1622,5.150333
video_02,data/raw/video_02.mp4,config/video_02_params.json,22,0.733333,30.0,400,600,left,1,200.0,65.951209,134.048791,20.0,ESQUERDA,20.0,20.0,1,1,1,1,45.95120911064785,366.16546694304446,65.95120911064785,206.05833802684617,346.16546694304446,1.0,1.0,484439.16424208565,137091.40720024056,191.7924,5.213971
video_02,data/raw/video_02.mp4,config/video_02_params.json,23,0.766667,30.0,400,600,left,1,200.0,65.112896,134.887104,20.0,ESQUERDA,20.0,20.0,1,1,1,1,45.112896035231564,365.30000577081137,65.11289603523156,205.20645090302145,345.30000577081137,1.0,1.0,358972.1252176382,125685.20759451287,201.5914,4.960529
video_02,data/raw/video_02.mp4,config/video_02_params.json,24,0.8,30.0,400,600,left,1,200.0,64.221562,135.778438,20.0,ESQUERDA,20.0,20.0,1,1,1,1,44.22156211907393,364.39407355281907,64.22156211907392,204.3078178359465,344.39407355281907,1.0,1.0,295251.0752875986,114914.98065952277,210.4475,4.751779
video_02,data/raw/video_02.mp4,config/video_02_params.json,25,0.833333,30.0,400,600,left,1,200.0,63.380239,136.619761,20.0,ESQUERDA,20.0,20.0,1,1,1,1,43.38023932994177,363.53965620126354,63.38023932994177,203.45994776560264,343.53965620126354,1.0,1.0,230067.59402902762,110241.75941885718,212.22,4.712091
video_02,data/raw/video_02.mp4,config/video_02_params.json,26,0.866667,30.0,400,600,left,1,200.0,62.417129,137.582871,20.0,ESQUERDA,20.0,20.0,1,1,1,1,42.417129475175585,362.64120587402675,62.417129475175585,202.52916767460115,342.64120587402675,1.0,1.0,205077.30032609968,113921.09924778074,197.7151,5.057783
video_02,data/raw/video_02.mp4,config/video_02_params.json,27,0.9,30.0,400,600,left,1,200.0,61.499189,138.500811,20.0,ESQUERDA,20.0,20.0,1,1,1,1,41.499189245776805,361.7538673456613,61.499189245776805,201.62652829571908,341.7538673456613,1.0,1.0,172089.26110901614,114727.95028472968,205.7441,4.860407
