video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps
video_01,data/raw/test_video.mp4,config/test_video_params.json,16,0.693911,29.858562,480,600,center,1,240.0,251.874488,-11.874488,20.0,RETO,20.0,20.0,1,1,1,1,93.79325944632805,409.9557170287906,113.79325944632805,251.87448823755935,389.9557170287906,1.0,1.0,24635.79787088197,280365.6830002889,172.2504,5.805502
video_01,data/raw/test_video.mp4,config/test_video_params.json,17,0.727233,29.858562,480,600,center,1,240.0,251.488531,-11.488531,20.0,RETO,20.0,20.0,1,1,1,1,93.07184237618611,409.9052198911611,113.07184237618611,251.4885311336736,389.9052198911611,1.0,1.0,24774.643468191305,231728.7086225882,168.0015,5.952328
video_01,data/raw/test_video.mp4,config/test_video_params.json,18,0.760556,29.858562,480,600,center,1,240.0,251.064733,-11.064733,20.0,RETO,20.0,20.0,1,1,1,1,92.28838109747494,409.8410844746447,112.28838109747494,251.0647327860598,389.8410844746447,1.0,1.0,24617.234887645078,254516.44633601658,154.8863,6.456349
video_01,data/raw/test_video.mp4,config/test_video_params.json,19,0.802222,29.858562,480,600,center,1,240.0,250.705272,-10.705272,20.0,RETO,20.0,20.0,1,1,1,1,91.55977872219754,409.8507661041912,111.55977872219754,250.7052724131944,389.8507661041912,1.0,1.0,23715.02300860012,226659.8758879282,167.469,5.971254
video_01,data/raw/test_video.mp4,config/test_video_params.json,20,0.835544,29.858562,480,600,center,1,240.0,250.398908,-10.398908,20.0,RETO,20.0,20.0,1,1,1,1,90.84788553410088,409.94992962228343,110.84788553410088,250.39890757819214,389.94992962228343,1.0,1.0,23160.87701981345,219072.86772391322,167.8761,5.956774
video_01,data/raw/test_video.mp4,config/test_video_params.json,21,0.860533,29.858562,480,600,center,1,240.0,250.088982,-10.088982,20.0,RETO,20.0,20.0,1,1,1,1,90.14208750702127,410.03587598502446,110.14208750702127,250.08898174602285,390.03587598502446,1.0,1.0,22852.356665911615,213097.4412044977,178.7122,5.595589
video_01,data/raw/test_video.mp4,config/test_video_params.json,22,0.893856,29.858562,480,600,center,1,240.0,249.706087,-9.706087,20.0,RETO,20.0,20.0,1,1,1,1,89.35294224041476,410.05923108473377,109.35294224041476,249.70608666257428,390.05923108473377,1.0,1.0,23164.983161879096,222439.72398452988,164.9518,6.062377
video_01,data/raw/test_video.mp4,config/test_video_params.json,23,0.927189,29.858562,480,600,center,1,240.0,249.361287,-9.361287,20.0,RETO,20.0,20.0,1,1,1,1,88.64240651086006,410.0801667872859,108.64240651086006,249.36128664907298,390.0801667872859,1.0,1.0,23158.62863772053,282314.0346154324,158.5535,6.307019
video_01,data/raw/test_video.mp4,config/test_video_params.json,24,0.960511,29.858562,480,600,center,1,240.0,249.043521,-9.043521,20.0,RETO,20.0,20.0,1,1,1,1,88.08821859565374,409.99882285146936,108.08821859565374,249.04352072356153,389.99882285146936,1.0,1.0,22947.38555018118,309751.81668337324,171.2747,5.838574
video_01,data/raw/test_video.mp4,config/test_video_params.json,25,0.993833,29.858562,480,600,center,1,240.0,248.689251,-8.689251,20.0,RETO,20.0,20.0,1,1,1,1,87.57851248821044,409.7999902840761,107.57851248821044,248.68925138614327,389.7999902840761,1.0,1.0,22644.495922848848,301582.39163533994,154.31,6.480461
