video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps,lane_width_px,error_normalized,steering_raw,steering_filtered,steering_delta,steering_direction,steering_held,steering_saturated
video_02,data/raw/video_02.mp4,config/video_02_params.json,15,0.5,30.0,400,600,center,1,200.0,210.859238,-10.859238,20.0,RETO,20.0,20.0,1,1,1,1,50.91765193959804,370.8008248626508,70.91765193959804,210.85923840112443,350.8008248626508,1.0,1.0,831297.6009018534,136378.76727761317,174.6713,5.725039,319.883173,-0.067895,-0.054316,-0.049127,-0.00173,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,16,0.533333,30.0,400,600,center,1,200.0,210.345766,-10.345766,20.0,RETO,20.0,20.0,1,1,1,1,50.44425961706525,370.24727256834626,70.44425961706526,210.34576609270573,350.24727256834626,1.0,1.0,999999.0,141629.20988039082,163.2446,6.125777,319.803013,-0.064701,-0.051761,-0.049785,-0.000658,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,17,0.566667,30.0,400,600,center,1,200.0,209.701445,-9.701445,20.0,RETO,20.0,20.0,1,1,1,1,49.811743747135246,369.591147095531,69.81174374713524,209.70144542133315,349.591147095531,1.0,1.0,999999.0,156071.35644505962,150.4654,6.646046,319.779403,-0.060676,-0.048541,-0.049474,0.000311,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,18,0.6,30.0,400,600,center,1,200.0,209.016886,-9.016886,20.0,RETO,20.0,20.0,1,1,1,1,49.10983935389253,368.9239332189977,69.10983935389254,209.01688628644513,348.9239332189977,1.0,1.0,999999.0,152416.92237029632,162.0325,6.171601,319.814094,-0.056388,-0.045111,-0.048383,0.001091,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,19,0.633333,30.0,400,600,center,1,200.0,208.319253,-8.319253,20.0,RETO,20.0,20.0,1,1,1,1,48.36941917544563,368.2690876987371,68.36941917544563,208.31925343709136,348.2690876987371,1.0,1.0,818253.3409103506,142042.15311236677,166.3746,6.010533,319.899669,-0.052012,-0.041609,-0.04669,0.001693,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,20,0.666667,30.0,400,600,center,1,200.0,207.59042,-7.59042,20.0,RETO,20.0,20.0,1,1,1,1,47.59696396784653,367.58387582336167,67.59696396784653,207.5904198956041,347.58387582336167,1.0,1.0,525097.9747100235,129808.91027354544,162.714,6.145753,319.986912,-0.047442,-0.037954,-0.044506,0.002184,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,21,0.7,30.0,400,600,center,1,200.0,206.841939,-6.841939,20.0,RETO,20.0,20.0,1,1,1,1,46.783929922464004,366.8999478508357,66.78392992246401,206.84193888664984,346.8999478508357,1.0,1.0,522331.42414793797,129682.60912980163,150.862,6.628574,320.116018,-0.042747,-0.034197,-0.041929,0.002577,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,22,0.733333,30.0,400,600,center,1,200.0,206.058338,-6.058338,20.0,RETO,20.0,20.0,1,1,1,1,45.95120911064785,366.16546694304446,65.95120911064785,206.05833802684617,346.16546694304446,1.0,1.0,484439.16424208565,137091.40720024056,149.4505,6.691179,320.214258,-0.037839,-0.030271,-0.039014,0.002914,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,23,0.766667,30.0,400,600,center,1,200.0,205.206451,-5.206451,20.0,RETO,20.0,20.0,1,1,1,1,45.112896035231564,365.30000577081137,65.11289603523156,205.20645090302145,345.30000577081137,1.0,1.0,358972.1252176382,125685.20759451287,149.0344,6.70986,320.18711,-0.032521,-0.026017,-0.035765,0.003249,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,24,0.8,30.0,400,600,center,1,200.0,204.307818,-4.307818,20.0,RETO,20.0,20.0,1,1,1,1,44.22156211907393,364.39407355281907,64.22156211907392,204.3078178359465,344.39407355281907,1.0,1.0,295251.0752875986,114914.98065952277,156.4065,6.393596,320.172511,-0.026909,-0.021527,-0.032206,0.003559,RETO,0,0
