dataset,source_file,output_file,frames,target_available_pct,kp,deadband_px,smoothing_alpha,max_step_per_frame,max_output,hold_missing_frames,steering_mean,steering_mean_abs,steering_abs_p95,steering_abs_max,steering_delta_mean_abs,steering_delta_abs_p95,steering_delta_abs_max,steering_left_pct,steering_straight_pct,steering_right_pct,steering_held_pct,steering_saturated_pct
lkas_video_01,experiments\lkas_video_01.csv,experiments\lkas_control\lkas_video_01_control.csv,1020,100.0,0.8,3.0,0.25,0.08,1.0,10,-0.158199,0.158199,0.296065,0.331621,0.00271,0.006508,0.013179,0.0,7.745098,92.254902,0.0,0.0
lkas_video_02,experiments\lkas_video_02.csv,experiments\lkas_control\lkas_video_02_control.csv,2232,99.820789,0.8,3.0,0.25,0.08,1.0,10,-0.105574,0.114756,0.284134,0.384061,0.003557,0.009426,0.036544,3.181004,26.523297,70.295699,0.179211,0.0
